series,x,mean,ci_low,ci_high,seed_20260901,seed_20260902,seed_20260903,seed_20260904,seed_20260905,seed_20260906,seed_20260907,seed_20260908
effective_response_magnitude,0.328125,1.02410037,1.01964447,1.02855628,1.01742122,1.03260074,1.03002552,1.0266125,1.02118864,1.02067464,1.02465661,1.01962311
effective_response_magnitude,0.3359375,0.99037033,0.986077881,0.994662779,0.984232751,0.997492418,0.997881153,0.990102357,0.98834976,0.986168754,0.992188037,0.986547411
effective_response_magnitude,0.34375,0.959163138,0.954744336,0.963581941,0.953550266,0.964648316,0.967976512,0.956238833,0.957620051,0.954137038,0.962711017,0.956423075
effective_response_magnitude,0.3515625,0.933965683,0.929242338,0.938689029,0.928713986,0.937623562,0.943367415,0.92894378,0.932559576,0.928206472,0.939629086,0.932681591
effective_response_magnitude,0.359375,0.917546483,0.912492649,0.922600317,0.912324438,0.91927953,0.926508165,0.911288963,0.916129677,0.911270188,0.925575214,0.91799569
effective_response_magnitude,0.3671875,0.911246631,0.905862811,0.91663045,0.905649576,0.911104448,0.918849607,0.904696117,0.909951424,0.904660724,0.921666342,0.913394807
effective_response_magnitude,0.375,0.914567141,0.908811677,0.920322604,0.908227315,0.912756524,0.920437231,0.908523861,0.913664455,0.907743241,0.927126792,0.918057706
effective_response_magnitude,0.3828125,0.925354591,0.919194652,0.93151453,0.918026613,0.92218423,0.929634156,0.920377207,0.924996626,0.918232195,0.939588077,0.929797627
effective_response_magnitude,0.390625,0.9404947,0.933951159,0.947038242,0.93210525,0.936269151,0.943592709,0.936912022,0.940636644,0.932969658,0.955822565,0.945649602
effective_response_magnitude,0.3984375,0.956682594,0.949828602,0.963536586,0.947316056,0.951597961,0.959150155,0.954616067,0.95719695,0.948680509,0.972466899,0.962436154
effective_response_magnitude,0.40625,0.970961113,0.963903647,0.97801858,0.960818589,0.965071257,0.973418941,0.970350101,0.971781777,0.962463933,0.986529711,0.977254598
effective_response_magnitude,0.4140625,0.981011097,0.973858592,0.988163601,0.970367866,0.974256593,0.984053664,0.98166369,0.98220409,0.972036145,0.995691342,0.987815382
effective_response_magnitude,0.421875,0.985275713,0.978090239,0.992461188,0.974431506,0.977536079,0.989374965,0.986937334,0.987032741,0.975822916,0.998457804,0.992612363
effective_response_magnitude,0.4296875,0.982994747,0.975745226,0.990244269,0.972217376,0.97414092,0.988443448,0.985408955,0.985574161,0.972988048,0.994217077,0.990967993
effective_response_magnitude,0.4375,0.974191031,0.966739819,0.981642243,0.963674292,0.964136142,0.981086785,0.977129654,0.977830458,0.96343949,0.983225769,0.98300566
effective_response_magnitude,0.4453125,0.95962904,0.951775763,0.967482316,0.949487461,0.948382114,0.967874479,0.962890941,0.964458889,0.947815588,0.966542318,0.969580527
effective_response_magnitude,0.453125,0.940754512,0.932316572,0.949192452,0.93105609,0.928474659,0.95006132,0.944158799,0.94674109,0.92744946,0.945915898,0.952178779
effective_response_magnitude,0.4609375,0.919607906,0.910483452,0.928732359,0.910424368,0.906642944,0.929519498,0.923006804,0.926539011,0.904316408,0.923632854,0.932781357
effective_response_magnitude,0.46875,0.89867915,0.888863992,0.908494307,0.890124703,0.885556784,0.90864013,0.901982343,0.906185563,0.880944326,0.902310876,0.913688473
effective_response_magnitude,0.4765625,0.880639674,0.870214693,0.891064654,0.872865214,0.867979172,0.890098449,0.883814966,0.888236279,0.860214295,0.884610736,0.89729828
effective_response_magnitude,0.484375,0.867879629,0.857001916,0.878757343,0.860994376,0.856247831,0.87632165,0.870926247,0.875014719,0.844940001,0.872815623,0.885776588
effective_response_magnitude,0.4921875,0.861900245,0.850805255,0.872995236,0.855865012,0.851702774,0.868759921,0.864849366,0.868021188,0.837176333,0.868298297,0.880529071
effective_response_magnitude,0.5,0.862874318,0.851840571,0.873908065,0.857514427,0.854316709,0.867507721,0.865797246,0.867554425,0.83750506,0.871109754,0.881689199
effective_response_magnitude,0.5078125,0.869697055,0.858951891,0.880442219,0.864851281,0.862777199,0.871544395,0.872627467,0.872814284,0.844844581,0.879989584,0.888127649
effective_response_magnitude,0.515625,0.880424927,0.870083361,0.890766492,0.876086026,0.874966333,0.879213383,0.883271655,0.882160769,0.856968689,0.892794776,0.897937782
effective_response_magnitude,0.5234375,0.892783995,0.882872098,0.902695892,0.889159832,0.888506875,0.888624553,0.895337739,0.893386737,0.871255877,0.907045823,0.908954523
effective_response_magnitude,0.53125,0.904577688,0.895092492,0.914062883,0.902036425,0.901153052,0.897944382,0.90655294,0.904236657,0.885225123,0.920353694,0.919119228
effective_response_magnitude,0.5390625,0.913933725,0.904891709,0.922975741,0.912849856,0.911020038,0.905594955,0.914999109,0.912810924,0.896804024,0.930694488,0.926696408
effective_response_magnitude,0.546875,0.919445541,0.910895378,0.927995704,0.920053258,0.916723651,0.910373739,0.919250529,0.917727696,0.90444003,0.936581049,0.930414375
effective_response_magnitude,0.5546875,0.920271765,0.912265683,0.928277847,0.922609018,0.917478055,0.911504426,0.918481048,0.918204799,0.907149015,0.937168849,0.929578911
effective_response_magnitude,0.5625,0.916196243,0.908731561,0.923660926,0.92012297,0.9131559,0.908659122,0.912526837,0.914099959,0.904543436,0.932310387,0.924151336
effective_response_magnitude,0.5703125,0.907643542,0.900602466,0.914684619,0.912892267,0.904298176,0.902002166,0.901890396,0.905892418,0.896847535,0.922561279,0.914764102
effective_response_magnitude,0.578125,0.895649639,0.888770915,0.902528363,0.90188973,0.892064581,0.892230753,0.887730286,0.894604227,0.884891149,0.909133338,0.902653047
effective_response_magnitude,0.5859375,0.881773746,0.874691208,0.888856284,0.888686472,0.878116185,0.880541668,0.87183165,0.881678932,0.870063127,0.893779494,0.889492444
effective_response_magnitude,0.59375,0.867924222,0.860270178,0.875578267,0.875287595,0.864417112,0.868494176,0.856444083,0.868833641,0.854189637,0.878587482,0.877140052
effective_response_magnitude,0.6015625,0.85608278,0.847579696,0.864585864,0.863838097,0.852947798,0.857781294,0.843927783,0.857867772,0.839295171,0.86566817,0.867336157
effective_response_magnitude,0.609375,0.847947554,0.838428995,0.857466114,0.856150132,0.845359381,0.849941763,0.836267646,0.850389676,0.827272098,0.856770623,0.861429115
effective_response_magnitude,0.6171875,0.844579307,0.833976909,0.855181706,0.853154929,0.842657382,0.846057993,0.834599811,0.847473751,0.819574828,0.852935614,0.860180149
effective_response_magnitude,0.625,0.846190672,0.834537879,0.857843464,0.854720558,0.845017019,0.846509303,0.83897611,0.849368187,0.816978243,0.854331913,0.863624041
effective_response_magnitude,0.6328125,0.852152231,0.839591691,0.86471277,0.859952242,0.851765313,0.850887709,0.848458413,0.855421264,0.819419145,0.860320262,0.870993496
effective_response_magnitude,0.640625,0.861177751,0.847938393,0.874417109,0.867537487,0.861520896,0.858128427,0.861430649,0.864276117,0.826011682,0.869655682,0.880861069
effective_response_magnitude,0.6484375,0.871611598,0.857954449,0.885268747,0.875970548,0.872488095,0.866773691,0.8759688,0.874209793,0.835266684,0.880727069,0.891488106
effective_response_magnitude,0.65625,0.881722153,0.8678879,0.895556407,0.883745507,0.882806331,0.875262692,0.890129496,0.883462658,0.845428225,0.891792985,0.901149333
effective_response_magnitude,0.6640625,0.889931883,0.876116445,0.903747321,0.889532762,0.890810928,0.882174121,0.902136186,0.890473997,0.85478575,0.901192974,0.908348346
effective_response_magnitude,0.671875,0.894969178,0.881326614,0.908611742,0.892289628,0.895186279,0.886377896,0.910510505,0.894020832,0.861888088,0.9075204,0.911959798
effective_response_magnitude,0.6796875,0.895963434,0.882621456,0.909305411,0.891307918,0.89506399,0.887116042,0.914169936,0.893306529,0.865671418,0.909762399,0.911309237
effective_response_magnitude,0.6875,0.892511037,0.879585583,0.905436491,0.886251938,0.890099486,0.884057265,0.912500337,0.888036466,0.865532932,0.90740807,0.906201805
effective_response_magnitude,0.6953125,0.884728466,0.87232786,0.897129071,0.877218623,0.880534875,0.877337017,0.905431305,0.878483678,0.861370109,0.900515159,0.89693696
effective_response_magnitude,0.703125,0.873288009,0.861502449,0.885073569,0.864797242,0.867234388,0.86757364,0.893520773,0.865521547,0.853596681,0.889733136,0.884326664
effective_response_magnitude,0.7109375,0.859411238,0.848291303,0.870531174,0.850090703,0.851655592,0.855846972,0.878006132,0.850589367,0.84313288,0.876275586,0.869692675
effective_response_magnitude,0.71875,0.844783831,0.834316717,0.855250944,0.834675921,0.835710394,0.843613894,0.860762753,0.835558515,0.831339965,0.861813316,0.854795886
effective_response_magnitude,0.7265625,0.831350892,0.82144732,0.841254464,0.820471664,0.82148768,0.832522072,0.844102507,0.822485947,0.819843212,0.848261235,0.841632819
effective_response_magnitude,0.734375,0.820970767,0.811477199,0.830464336,0.809457372,0.810864399,0.824103668,0.830336641,0.813265593,0.810209145,0.837475769,0.83205355
effective_response_magnitude,0.7421875,0.814988056,0.805707398,0.824268713,0.803240873,0.805108152,0.819422537,0.821178147,0.809185193,0.803567167,0.830912516,0.827289861
effective_response_magnitude,0.75,0.813902002,0.80457899,0.823225013,0.802573417,0.804615628,0.818850556,0.817369188,0.810493955,0.80039153,0.82928635,0.827635389
